STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,METHODOLOGY,Measurement method,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,5.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2020,,3.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2021,,4.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2022,,5.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,BEL,Belgium,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2018,,2.7,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GRC,Greece,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,0.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CHE,Switzerland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2017,,1.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CHE,Switzerland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2022,,2.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,EST,Estonia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2012,,1.8,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,EST,Estonia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2014,,13.8,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,EST,Estonia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2016,,11,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,EST,Estonia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2018,,16.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,EST,Estonia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2020,,19.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,EST,Estonia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2022,,23.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CAN,Canada,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2015,,2.6,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CAN,Canada,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2017,,2.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CAN,Canada,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2019,,3.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CAN,Canada,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2020,,2.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CAN,Canada,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2021,,3.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CAN,Canada,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2022,,5.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,HUN,Hungary,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,5.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CHL,Chile,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2014,,1.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CHL,Chile,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2016,,1.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CHL,Chile,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2018,,2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,CHL,Chile,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2020,,1.7,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,DEU,Germany,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,3.3,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2014,,1.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2015,,2.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2016,,5.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2017,,5.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2018,,4.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,3.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2020,,2.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2021,,3.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,GBR,United Kingdom,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2022,,5.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,HRV,Croatia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2019,,1.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,BEL,Belgium,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2018,,2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2016,,8.3,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2017,,2.9,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2018,,3.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2019,,3.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2020,,2.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2022,,2.7,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NLD,Netherlands,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2016,,3.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NLD,Netherlands,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2017,,3.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NLD,Netherlands,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2018,,3.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NLD,Netherlands,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,1.6,,B,Time series break,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NLD,Netherlands,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2020,,1.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NLD,Netherlands,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2021,,1.4,,B,Time series break,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NLD,Netherlands,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2022,,2.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,DNK,Denmark,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2017,,4.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,DNK,Denmark,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2021,,4.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2015,,3.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2016,,2.7,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2017,,3.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2018,,2.9,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2019,,2.7,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2020,,2.7,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2021,,1.9,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2022,,2.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,NOR,Norway,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,F,Female,PT_POP,Percentage of population,_Z,Not applicable,2023,,2.6,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,AUS,Australia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2016,,1.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,AUS,Australia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,3.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,AUS,Australia,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2022,,14.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2014,,2.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2015,,1.6,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2016,,1.6,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2017,,2.9,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2018,,3.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2019,,3.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2020,,3.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ITA,Italy,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2021,,3.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2016,,6.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2017,,2.3,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2018,,2.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2019,,2.2,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2020,,1.7,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,FIN,Finland,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2022,,2.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,ROU,Romania,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2019,,1.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,BEL,Belgium,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2018,,4.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,SWE,Sweden,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2018,,1.9,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_VP(1.0),Use of vaping products,I,SWE,Sweden,A,Annual,SP_RVPU,Share of population who are regular vaping product users,Y_GE15,15 years or over,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2020,,1.2,,D,Definition differs,0,Units,,
